ID,block1,cape_score,Perspective,Stimulus_Type,Embodiment_Score,Group
cecsim01,70,133,First Person,Asynchronous,4.222222222,High
cecsim01,70,133,First Person,Synchronous,4.533333333,High
cecsim01,70,133,Third Person,Asynchronous,4.866666667,High
cecsim01,70,133,Third Person,Synchronous,3.866666667,High
fedgio01,75,88,First Person,Asynchronous,1,Low
fedgio01,75,88,First Person,Synchronous,2.533333333,Low
fedgio01,75,88,Third Person,Asynchronous,1,Low
fedgio01,75,88,Third Person,Synchronous,1.133333333,Low
fraant00,81,157,First Person,Asynchronous,1.111111111,Low
fraant00,81,157,First Person,Synchronous,1.933333333,Low
fraant00,81,157,Third Person,Asynchronous,1.2,Low
fraant00,81,157,Third Person,Synchronous,2.133333333,Low
gemand97,76,190,First Person,Asynchronous,1,Low
gemand97,76,190,First Person,Synchronous,1.933333333,Low
gemand97,76,190,Third Person,Asynchronous,2.2,Low
gemand97,76,190,Third Person,Synchronous,2.2,Low
haijal99,60,158,First Person,Asynchronous,2.777777778,High
haijal99,60,158,First Person,Synchronous,3.6,High
haijal99,60,158,Third Person,Asynchronous,2.066666667,High
haijal99,60,158,Third Person,Synchronous,2.6,High
HaiJaw96,84,117,First Person,Asynchronous,1.444444444,Low
HaiJaw96,84,117,First Person,Synchronous,2.8,Low
HaiJaw96,84,117,Third Person,Asynchronous,2.333333333,Low
HaiJaw96,84,117,Third Person,Synchronous,2.133333333,Low
liyul97,83,131,First Person,Asynchronous,1.722222222,Low
liyul97,83,131,First Person,Synchronous,1,Low
liyul97,83,131,Third Person,Asynchronous,1.027777778,Low
liyul97,83,131,Third Person,Synchronous,1.638888889,Low
LUCEST03,59,176,First Person,Asynchronous,4.111111111,High
LUCEST03,59,176,First Person,Synchronous,4.6,High
LUCEST03,59,176,Third Person,Asynchronous,3.266666667,High
LUCEST03,59,176,Third Person,Synchronous,4.133333333,High
maggiu98,81,95,First Person,Asynchronous,3.888888889,Low
maggiu98,81,95,First Person,Synchronous,4.333333333,Low
maggiu98,81,95,Third Person,Asynchronous,3.2,Low
maggiu98,81,95,Third Person,Synchronous,4.2,Low
marreb02,70,130,First Person,Asynchronous,4.222222222,High
marreb02,70,130,First Person,Synchronous,2.866666667,High
marreb02,70,130,Third Person,Asynchronous,3.066666667,High
marreb02,70,130,Third Person,Synchronous,3.4,High
morgai02,84,129,First Person,Asynchronous,1.444444444,Low
morgai02,84,129,First Person,Synchronous,2,Low
morgai02,84,129,Third Person,Asynchronous,1.733333333,Low
morgai02,84,129,Third Person,Synchronous,1.6,Low
parreb03,78,98,First Person,Asynchronous,2,Low
parreb03,78,98,First Person,Synchronous,1.611111111,Low
parreb03,78,98,Third Person,Asynchronous,1.166666667,Low
parreb03,78,98,Third Person,Synchronous,1.361111111,Low
pupchi97,57,110,First Person,Asynchronous,2.111111111,High
pupchi97,57,110,First Person,Synchronous,2.733333333,High
pupchi97,57,110,Third Person,Asynchronous,2.266666667,High
pupchi97,57,110,Third Person,Synchronous,2.2,High
rahsha99,83,100,First Person,Asynchronous,1.111111111,Low
rahsha99,83,100,First Person,Synchronous,1.066666667,Low
rahsha99,83,100,Third Person,Asynchronous,1.133333333,Low
rahsha99,83,100,Third Person,Synchronous,1.066666667,Low
sajele87,73,105,First Person,Asynchronous,4.222222222,Low
sajele87,73,105,First Person,Synchronous,4.4,Low
sajele87,73,105,Third Person,Asynchronous,1.933333333,Low
sajele87,73,105,Third Person,Synchronous,2.933333333,Low
SANMAR94,69,88,First Person,Asynchronous,1.444444444,High
SANMAR94,69,88,First Person,Synchronous,2.866666667,High
SANMAR94,69,88,Third Person,Asynchronous,1.266666667,High
SANMAR94,69,88,Third Person,Synchronous,2,High
Srivar94,70,171,First Person,Asynchronous,2.777777778,High
Srivar94,70,171,First Person,Synchronous,2.333333333,High
Srivar94,70,171,Third Person,Asynchronous,1.933333333,High
Srivar94,70,171,Third Person,Synchronous,2.666666667,High
viaemm03,69,168,First Person,Asynchronous,2.777777778,High
viaemm03,69,168,First Person,Synchronous,4.133333333,High
viaemm03,69,168,Third Person,Asynchronous,4.933333333,High
viaemm03,69,168,Third Person,Synchronous,3.4,High
WUPAN1998,75,135,First Person,Asynchronous,2.333333333,Low
WUPAN1998,75,135,First Person,Synchronous,1.6,Low
WUPAN1998,75,135,Third Person,Asynchronous,1.066666667,Low
WUPAN1998,75,135,Third Person,Synchronous,2.133333333,Low
yuezhu94,77,114,First Person,Asynchronous,1,Low
yuezhu94,77,114,First Person,Synchronous,1,Low
yuezhu94,77,114,Third Person,Asynchronous,1,Low
yuezhu94,77,114,Third Person,Synchronous,1,Low
